Cliente Año Mes Minutos_Trabajados
1000 2019 01 50
1001 2020 02 120
1001 2021 03 95
1001 2022 01 48
1002 2019 06 200
1002 2020 07 180
1003 2019 11 75
1003 2020 09 110
1003 2021 03 140
1004 2019 02 90
1004 2020 12 60
1004 2021 05 75
1004 2022 02 105
1005 2019 08 150
1005 2020 09 125
1005 2021 07 180
1006 2019 12 80
1006 2020 02 100
1006 2021 01 70
1006 2022 03 120
1007 2019 03 110
1007 2020 05 95
1007 2021 11 140
1008 2019 10 75
1008 2020 12 60
1009 2021 04 125
1009 2022 02 100
1010 2020 01 80
1010 2021 02 95
1010 2022 04 120
1011 2019 04 70
1011 2020 06 110
1011 2021 08 140
1012 2019 12 75
1012 2020 03 90
1012 2021 05 105
1013 2022 01 120
1014 2019 07 95
1014 2020 09 140
1014 2021 11 160
1015 2019 02 75
1015 2020 04 110
1015 2021 06 140
1016 2019 08 120
1016 2020 10 95
1016 2021 12 80
1017 2022 03 100
1018 2019 05 90
1018 2020 07 125
1018 2021 09 150
1019 2019 01 65
1019 2020 03 95
1019 2021 04 125
1020 2022 02 110
1021 2019 04 80
1021 2020 06 110
1021 2021 08 60
